SECOND;GOLD;GOLD_KALMAN;SILVER;SILVER_KALMAN;BRONZE;BRONZE_KALMAN;
0;3664;3664;2251;2251;1661;1661;
360;4647;4179;2872;2576;1900;1786;
540;4596;4339;3025;2749;1856;1813;
720;4676;4449;2768;2755;1953;1859;
900;4442;4447;2954;2814;1900;1871;
1080;4642;4503;2734;2791;1948;1893;
1260;4795;4584;2750;2780;1979;1917;
1440;4448;4547;2590;2728;1773;1877;
1620;4048;4411;2672;2713;1843;1868;
1800;4285;4377;2761;2726;1854;1864;
1980;4204;4330;2678;2713;1857;1862;
2160;4241;4306;2453;2643;1823;1852;
2340;4100;4250;2571;2623;1841;1849;
2520;3979;4177;2407;2565;1800;1836;
2700;3964;4119;2407;2522;1673;1792;
2880;4188;4138;2427;2496;1656;1755;
3060;4179;4149;2466;2488;1670;1732;
3240;3892;4080;2413;2468;1690;1721;
3420;3810;4007;2295;2421;1526;1668;
3600;3611;3900;2304;2390;1471;1615;
3780;3835;3882;1814;2234;1494;1582;
3960;3722;3839;2302;2252;1387;1529;
4140;3482;3743;2265;2256;1494;1520;
4320;3765;3749;2239;2251;1437;1497;
4500;3586;3705;2113;2214;1518;1503;
4680;3683;3699;2021;2162;1321;1454;
4860;3650;3686;2181;2167;1461;1456;
5040;3590;3660;2129;2157;1334;1423;
5220;3631;3652;2238;2179;1313;1393;
5400;3383;3579;2282;2207;1630;1457;
5580;3571;3577;1934;2133;1352;1429;
5760;3257;3491;2110;2127;1386;1417;
5940;3268;3430;2072;2112;1372;1405;
6120;3452;3436;2149;2122;1316;1381;
6300;3523;3460;2295;2169;1397;1385;
6480;3240;3400;2084;2146;1506;1418;
6660;3080;3314;1899;2079;1307;1388;
6840;3314;3314;2103;2086;1366;1382;
7020;3402;3338;2333;2152;1283;1355;
7200;3165;3291;1975;2104;1287;1337;
7380;2984;3208;2096;2102;1382;1349;
7560;3254;3220;2145;2114;1242;1320;
7740;3139;3198;2014;2087;1155;1276;
7920;3128;3179;2289;2141;1212;1258;
8100;3236;3195;2202;2158;1194;1241;
8280;2851;3102;2102;2143;1208;1232;
8460;2774;3013;2190;2155;1353;1265;
8640;2911;2986;2251;2181;1218;1252;
8820;3056;3005;2209;2189;1068;1202;
9000;3033;3012;1963;2128;1112;1178;
9180;2886;2978;2306;2176;1201;1184;
9360;3008;2986;2160;2172;1124;1168;
9540;2968;2981;2269;2198;1313;1207;
9720;2975;2980;2444;2264;1284;1228;
9900;3067;3003;2470;2320;1086;1190;
10080;2966;2993;2148;2273;1114;1169;
10260;3147;3035;2370;2300;1103;1151;
10440;2886;2995;2273;2292;1311;1194;
10620;2780;2937;2239;2278;1296;1222;
10800;2707;2875;2104;2231;1157;1204;
10980;2820;2860;2148;2209;1134;1185;
11160;3029;2906;2253;2221;1047;1148;
11340;3034;2940;2373;2262;1250;1176;
11520;3024;2963;2368;2290;1142;1166;
11700;3251;3041;2449;2333;1187;1172;
11880;3064;3047;2122;2276;1280;1201;
12060;3006;3036;1974;2195;1095;1173;
12240;2949;3012;2119;2174;1067;1144;
12420;2834;2964;2526;2269;1222;1165;
12600;2650;2879;2512;2335;994;1119;
12780;2730;2839;2243;2310;1164;1131;
12960;2811;2831;2451;2348;1106;1124;
13140;2886;2846;2186;2304;1003;1092;
13320;2861;2850;2477;2351;963;1057;
13500;2558;2771;2713;2449;1002;1042;
13680;2728;2760;2734;2526;932;1012;
13860;2636;2726;2751;2587;1030;1017;
14040;2674;2712;2630;2598;1046;1025;
14220;2571;2674;2587;2595;977;1012;
14400;2477;2621;2808;2653;908;984;
14580;2520;2594;2785;2688;1023;994;
14760;2276;2508;2776;2712;911;972;
14940;2686;2556;2933;2772;1064;997;
15120;2632;2576;2654;2740;1038;1008;
15300;2427;2536;2678;2723;1018;1011;
15480;2519;2531;3092;2823;989;1005;
15660;2622;2556;3005;2872;910;979;
15840;2539;2551;2881;2874;950;971;
16020;2583;2560;2683;2823;1014;983;
16200;2555;2559;2731;2798;925;967;
16380;2617;2574;2596;2743;986;972;
16560;2726;2615;2707;2734;1031;988;
16740;2501;2584;2837;2762;999;991;
16920;2641;2600;2621;2724;941;978;
17100;2414;2550;2861;2761;782;925;
17280;2265;2473;2974;2818;903;919;
17460;2561;2497;3023;2874;829;895;
17640;2388;2467;2810;2856;907;898;
17820;2603;2504;3039;2906;1037;936;
18000;2372;2468;2637;2833;812;902;
18180;2367;2441;2567;2761;902;902;
18360;2389;2427;2641;2729;819;880;
18540;2510;2449;2522;2673;925;892;
18720;2384;2432;2771;2699;952;908;
18900;2389;2420;2593;2671;907;908;
19080;2320;2393;2575;2645;878;900;
19260;2328;2376;2570;2625;979;921;
19440;2328;2363;2541;2602;892;913;
19620;2240;2330;2672;2621;873;902;
19800;2187;2291;2437;2571;853;889;
19980;2474;2340;2340;2509;845;877;
20160;2282;2325;2438;2490;864;874;
