SECOND;GOLD;GOLD_KALMAN;SILVER;SILVER_KALMAN;BRONZE;BRONZE_KALMAN;
0;3766;3766;2217;2217;1689;1689;
360;4466;4132;2803;2524;2036;1871;
540;4595;4310;3067;2732;1885;1876;
720;4622;4412;2593;2687;1912;1888;
900;4424;4416;2871;2742;1926;1899;
1080;4640;4480;2720;2736;1989;1925;
1260;4592;4511;2679;2720;1932;1927;
1440;4424;4487;2527;2667;1918;1924;
1620;4717;4550;2433;2603;1919;1923;
1800;4154;4442;2378;2542;1601;1836;
1980;3830;4276;2657;2573;1381;1712;
2160;3616;4098;2605;2582;1531;1663;
2340;3593;3961;2214;2482;1752;1687;
2520;4018;3977;2326;2440;1429;1618;
2700;3758;3918;2308;2404;1601;1613;
2880;3860;3902;2234;2358;1652;1624;
3060;3703;3848;2386;2366;1719;1649;
3240;4061;3906;2386;2371;1360;1571;
3420;3559;3812;2227;2332;1394;1523;
3600;3589;3752;2237;2307;1369;1482;
3780;3728;3745;2253;2292;1508;1489;
3960;3679;3727;2078;2234;1452;1479;
4140;3607;3695;2439;2290;1455;1472;
4320;3191;3559;2207;2267;1297;1425;
4500;3256;3477;2098;2222;1273;1384;
4680;3365;3447;2120;2194;1319;1366;
4860;3342;3418;2172;2188;1200;1321;
5040;3157;3348;2053;2152;1289;1313;
5220;3160;3297;2079;2132;1286;1305;
5400;3097;3243;2139;2134;1036;1233;
5580;3356;3274;2023;2104;1337;1261;
5760;3102;3227;2298;2156;1131;1226;
5940;2898;3138;2515;2253;1090;1189;
6120;2798;3046;2397;2292;923;1117;
6300;2694;2951;2439;2332;1164;1130;
6480;2735;2893;2344;2335;1101;1122;
6660;2897;2894;2381;2347;1121;1122;
6840;3202;2977;2304;2336;1050;1102;
7020;2959;2972;2459;2369;1241;1140;
7200;2752;2913;2653;2446;1183;1151;
7380;2777;2876;2462;2450;1143;1149;
7560;2524;2781;2501;2464;1007;1111;
7740;2609;2735;2841;2566;1083;1103;
7920;2449;2657;2831;2637;955;1063;
8100;2647;2655;2771;2674;1099;1073;
8280;2420;2591;2765;2698;886;1022;
8460;2682;2616;2729;2707;1080;1038;
8640;2605;2613;2767;2723;1011;1031;
8820;2492;2580;3003;2799;936;1005;
9000;2424;2538;2957;2841;1073;1023;
9180;2296;2473;2559;2765;804;964;
9360;2486;2476;2436;2676;949;960;
9540;2429;2463;2516;2633;789;914;
9720;2341;2430;2594;2622;918;915;
9900;2255;2383;2583;2612;752;871;
10080;2482;2410;2448;2568;952;893;
10260;2542;2445;2328;2503;856;883;
10440;2430;2441;2426;2482;858;876;
10620;2367;2421;2418;2465;890;880;
10800;2591;2467;2259;2409;793;856;
10980;2613;2507;2441;2418;822;847;
11160;2802;2586;2125;2339;766;825;
11340;2665;2608;2119;2279;706;793;
11520;2779;2654;2287;2281;798;794;
11700;2611;2642;2157;2248;787;792;
11880;2866;2703;1987;2177;836;804;
12060;2696;2701;2055;2144;733;785;
12240;2787;2724;1999;2105;976;837;
12420;2663;2708;2176;2124;798;826;
12600;2840;2743;1969;2082;870;838;
12780;2616;2709;2248;2127;863;845;
12960;2750;2720;2147;2132;713;809;
13140;2685;2711;2227;2158;831;815;
13320;2728;2715;2060;2132;738;794;
13500;2693;2709;2200;2150;635;751;
13680;2917;2765;2114;2140;786;761;
13860;2883;2797;2107;2131;804;772;
14040;2768;2789;2112;2126;846;792;
14220;2818;2797;1991;2090;704;768;
14400;2939;2835;1882;2034;951;818;
14580;3074;2900;2080;2046;804;814;
14760;2732;2855;1957;2022;829;818;
14940;3058;2909;2047;2029;905;842;
15120;2866;2898;2058;2037;736;813;
15300;3041;2936;1935;2009;812;813;
15480;2868;2918;1999;2006;1036;873;
15660;2977;2934;1987;2001;820;859;
15840;2930;2933;2368;2100;799;843;
16020;3026;2958;2118;2105;818;836;
16200;2724;2895;1967;2068;813;830;
16380;3062;2940;2215;2108;874;842;
16560;2963;2946;2362;2176;856;846;
16740;3044;2973;2072;2148;886;856;
16920;3099;3007;1907;2083;904;869;
17100;3388;3110;2434;2178;928;885;
17280;3143;3119;2098;2156;1038;926;
17460;3186;3137;2174;2161;884;915;
17640;2858;3062;2047;2130;820;889;
17820;2929;3026;2393;2201;894;891;
18000;2873;2984;2291;2225;914;897;
18180;3153;3030;2177;2212;994;923;
18360;3226;3083;2136;2192;803;891;
18540;2975;3054;2106;2169;1001;920;
18720;3108;3068;2546;2271;862;905;
18900;3191;3102;2264;2269;874;896;
19080;3401;3182;2374;2297;941;908;
19260;3240;3198;2417;2330;947;919;
19440;3314;3229;2562;2392;982;936;
19620;3513;3306;2547;2434;980;948;
19800;3259;3293;2431;2433;924;941;
19980;3194;3266;2422;2430;919;935;
20160;3212;3252;2394;2420;872;918;
20340;3379;3286;2293;2386;808;888;
20520;3165;3253;2477;2411;1062;935;
20700;3397;3292;2412;2411;900;926;
20880;3326;3301;2476;2429;1046;958;
21060;3487;3351;2462;2438;825;922;
21240;3427;3372;2338;2411;939;927;
21420;3515;3411;2413;2411;1017;951;
21600;3586;3458;2359;2397;898;937;
21780;3543;3481;2361;2387;980;948;
21960;3561;3503;2453;2405;1115;993;
22140;3431;3483;2541;2442;973;988;
22320;3654;3529;2573;2477;1057;1007;
22500;3400;3494;2522;2489;916;982;
22680;3688;3547;2614;2523;1139;1024;
22860;3415;3511;2489;2514;989;1015;
23040;3762;3579;2702;2565;1006;1013;
23220;3620;3590;2739;2612;1087;1033;
23400;3438;3549;2554;2596;968;1015;
23580;3476;3529;2667;2615;1020;1016;
23760;3555;3536;2664;2628;1024;1019;
23940;3480;3521;2478;2588;981;1008;
24120;3521;3521;2656;2606;918;984;
24300;3692;3567;2378;2545;1062;1005;
24480;3582;3571;2633;2568;1074;1024;
24660;3704;3607;2643;2589;1153;1059;
24840;3757;3648;2572;2584;925;1023;
25020;3621;3640;2473;2554;1123;1050;
25200;3456;3591;2653;2581;1052;1050;
25380;3647;3606;2497;2558;974;1030;
25560;3952;3699;2740;2607;980;1016;
25740;3949;3767;2901;2687;1295;1092;
25920;4193;3882;3428;2887;1042;1078;
26100;4498;4048;3117;2949;1242;1122;
26280;4646;4210;3019;2968;1333;1179;
26460;5122;4456;3068;2995;1404;1240;
26640;6117;4905;2541;2872;1484;1306;
26820;6525;5343;2466;2763;1640;1396;
27000;6129;5555;2444;2677;1566;1442;
27180;6576;5831;2238;2558;1763;1529;
27360;6118;5908;2415;2519;1743;1587;
27540;6713;6126;2230;2441;1510;1566;
27720;6034;6101;2684;2507;1490;1545;
27900;6564;6226;2436;2488;1553;1547;
28080;6255;6234;2189;2407;1645;1574;
28260;6231;6233;2210;2354;1858;1651;
28440;5742;6100;2393;2364;1895;1717;
28620;6034;6082;2213;2323;1816;1743;
