0;96;96;405;405;179;179;
180;911;523;2317;1406;1442;841;
210;1223;792;2241;1727;1428;1066;
240;1118;898;2444;1961;1453;1192;
270;1062;947;2570;2143;1493;1282;
300;1162;1008;2397;2215;1398;1315;
330;1155;1049;2017;2160;1418;1344;
360;1130;1071;2372;2218;1562;1404;
390;1277;1127;2355;2256;1560;1446;
420;1160;1136;2492;2320;1385;1430;
450;1258;1169;2214;2291;1522;1455;
480;1220;1183;2572;2367;1470;1459;
510;1107;1162;2350;2362;1367;1434;
540;1163;1163;2088;2288;1437;1435;
570;1242;1184;2428;2326;1341;1409;
600;1358;1231;2284;2315;1496;1433;
630;1041;1180;2294;2309;1340;1408;
660;1017;1136;2501;2361;1475;1426;
690;1137;1136;2518;2403;1438;1429;
720;1163;1143;2363;2392;1384;1417;
750;973;1097;2168;2332;1442;1424;
780;1331;1160;2446;2363;1542;1456;
810;1122;1150;2278;2340;1467;1459;
840;1115;1141;2347;2342;1451;1457;
870;1172;1149;2248;2316;1395;1440;
900;1126;1143;2137;2268;1384;1425;
930;1114;1135;2417;2308;1464;1435;
960;1308;1182;2075;2245;1428;1433;
990;1203;1188;2167;2224;1500;1451;
1020;1061;1153;2243;2229;1517;1469;
1050;1213;1169;2207;2223;1504;1479;
1080;1241;1189;2205;2218;1442;1469;
1110;1329;1227;2324;2247;1522;1483;
1140;1141;1204;2365;2279;1591;1512;
1170;1117;1180;2361;2301;1430;1490;
1200;1205;1187;2195;2272;1524;1499;
1230;1173;1183;2333;2289;1454;1487;
1260;1258;1203;2454;2333;1513;1494;
1290;1178;1196;2115;2274;1447;1481;
1320;1229;1205;2426;2315;1530;1494;
1350;1241;1215;2135;2267;1393;1467;
1380;1109;1186;2342;2287;1344;1434;
1410;1181;1185;2399;2317;1321;1403;
1440;1248;1202;2418;2344;1501;1430;
1470;1195;1200;2387;2356;1494;1447;
1500;1093;1171;2320;2346;1419;1439;
1530;1205;1180;2183;2302;1444;1441;
1560;1191;1183;2221;2280;1552;1471;
1590;1051;1147;2309;2288;1586;1502;
1620;1189;1159;2282;2286;1379;1469;
1650;1223;1176;2398;2317;1625;1511;
1680;1272;1202;2066;2249;1403;1482;
1710;1222;1207;2340;2273;1399;1459;
1740;1085;1174;2622;2368;1438;1454;
1770;1183;1177;2488;2400;1392;1437;
1800;1186;1179;2367;2391;1383;1422;
1830;1191;1182;2302;2367;1467;1434;
1860;1128;1168;2213;2325;1473;1445;
1890;1140;1160;2273;2311;1405;1434;
1920;1231;1179;2334;2317;1325;1405;
1950;1130;1166;2466;2358;1591;1455;
1980;1112;1151;2071;2280;1492;1465;
2010;1199;1164;2145;2244;1449;1461;
2040;1221;1180;2500;2313;1644;1510;
2070;1184;1181;2392;2334;1352;1467;
2100;1340;1224;2275;2318;1254;1410;
2130;1055;1178;2347;2326;1414;1411;
2160;1058;1146;2431;2354;1366;1399;
2190;1128;1141;2390;2364;1373;1392;
2220;1060;1119;2154;2307;1453;1408;
2250;986;1083;2321;2311;1439;1417;
2280;1204;1116;2273;2301;1460;1428;
2310;1042;1096;2304;2302;1621;1480;
2340;1218;1129;2436;2338;1405;1460;
2370;1086;1117;2321;2333;1509;1473;
2400;1187;1136;2455;2366;1453;1468;
2430;1057;1115;2416;2380;1415;1454;
2460;1173;1130;2309;2361;1373;1432;
2490;1250;1163;2335;2354;1441;1434;
2520;1059;1135;2365;2357;1356;1413;
2550;1086;1122;2203;2315;1280;1377;
2580;1286;1166;2315;2315;1395;1382;
2610;1234;1184;2171;2276;1549;1427;
2640;1304;1217;2276;2276;1462;1437;
2670;1307;1241;2227;2263;1391;1424;
2700;1107;1205;2295;2272;1344;1403;
2730;1264;1221;2167;2243;1392;1400;
2760;1152;1202;2327;2266;1368;1391;
2790;1285;1225;2101;2221;1505;1422;
2820;1243;1230;2415;2274;1486;1439;
2850;1133;1203;2486;2331;1561;1472;
2880;1113;1179;2477;2370;1364;1443;
2910;994;1129;1993;2268;1384;1427;
2940;1271;1167;2103;2224;1372;1412;
2970;1061;1139;2445;2284;1618;1468;
3000;1052;1115;2198;2260;1519;1482;
3030;1177;1132;2374;2291;1487;1483;
3060;1163;1140;2354;2308;1494;1486;
3090;1121;1135;2209;2281;1524;1496;
3120;1102;1126;2297;2286;1632;1533;
3150;1205;1147;2349;2303;1630;1559;
3180;1262;1178;2397;2328;1492;1541;
3210;1124;1164;2533;2384;1461;1519;
3240;1167;1165;2220;2339;1296;1459;
3270;1158;1163;2212;2305;1412;1446;
3300;1149;1159;2229;2284;1430;1442;
3330;1140;1154;2202;2262;1342;1415;
3360;1112;1143;2334;2282;1375;1404;
3390;1161;1148;2370;2305;1433;1412;
3420;1112;1138;2261;2293;1472;1428;
3450;1014;1104;2300;2295;1467;1439;
3480;1037;1086;2227;2277;1407;1430;
3510;1114;1094;2324;2290;1611;1479;
3540;1148;1108;2462;2336;1475;1478;
3570;1087;1103;2213;2303;1445;1469;
3600;1112;1105;2261;2292;1467;1468;
3630;1176;1124;2325;2301;1456;1465;
3660;1327;1179;2356;2316;1331;1429;
3690;1168;1176;2431;2347;1531;1456;
3720;1084;1151;2401;2361;1609;1498;
3750;1223;1171;2073;2283;1600;1525;
3780;1095;1150;2463;2332;1614;1549;
3810;1145;1149;2263;2313;1431;1517;
3840;1229;1170;2527;2371;1518;1518;
3870;1178;1172;2324;2358;1417;1490;
3900;992;1124;2609;2426;1486;1489;
3930;1135;1127;2143;2350;1517;1497;
3960;1077;1113;2292;2334;1565;1515;
3990;1205;1138;2484;2375;1157;1418;
4020;1184;1150;2469;2400;1386;1410;
4050;1209;1166;2307;2375;1473;1427;
4080;1152;1162;2324;2361;1399;1419;
4110;1265;1190;2397;2371;1468;1432;
4140;1292;1218;2413;2382;1505;1452;
4170;1166;1204;2127;2313;1399;1438;
4200;1340;1241;2095;2254;1518;1459;
4230;1036;1185;2164;2230;1391;1441;
4260;1175;1182;2221;2228;1395;1429;
4290;1055;1148;2331;2255;1539;1458;
4320;1254;1177;2433;2303;1219;1394;
4350;1139;1166;2228;2283;1607;1451;
4380;1159;1164;2246;2273;1485;1460;
4410;1108;1149;2193;2251;1439;1455;
4440;1126;1143;2407;2293;1250;1399;
4470;1241;1169;2331;2304;1531;1435;
4500;1053;1138;2525;2363;1427;1433;
4530;1162;1144;2294;2345;1560;1467;
4560;1174;1152;2480;2381;1466;1467;
4590;1256;1180;2312;2363;1379;1443;
4620;1325;1219;2407;2375;1465;1449;
4650;1135;1197;2192;2325;1534;1472;
4680;1011;1147;2336;2328;1342;1437;
4710;1089;1131;2209;2296;1410;1430;
4740;1099;1122;2406;2326;1461;1438;
4770;1032;1098;2253;2306;1473;1448;
4800;1289;1150;2416;2336;1399;1434;
4830;1211;1166;2373;2346;1279;1392;
4860;1118;1153;2354;2348;1506;1423;
4890;1225;1173;2373;2355;1351;1404;
4920;1126;1160;2294;2338;1333;1385;
4950;1352;1212;2548;2395;1646;1455;
4980;1121;1187;2335;2379;1622;1500;
5010;1239;1201;2383;2380;1279;1440;
5040;1159;1190;2199;2331;1661;1500;
5070;1209;1195;2354;2337;1539;1511;
5100;1192;1194;2294;2326;1346;1466;
